AGO	io, kion oni faras
OMBRELO	kontraŭpluva ŝirmilo
OVO	maturiĝonta bestĝermo en ŝelo
PARAŜUTO	aparato por malrapide fali tra la aero
PARKO	publika plezurkampo
PASERO	birdspeco
PELTO	speciale preparita felo
PICEO	konifera arbo
PINO	konifera arbo
PIRO	bongusta frukto
PLANTAGO	ofta plurjara herbo
PLUGI	tranĉi la teron per speciala kulturilo
PLUKI	deŝiri floron
POTO	speco de vazo
PRIMOLO	printempa floro
RADIKO	subtera parto de vegetaĵo, per kiu ĝi alsuĉas nutraĵon
RETRO-	sufikso, kiu signifas “dorseniri”
RINGO	cirkloformaĵo
SKALO	dimensioj de desegnaĵo rilate al la reala objekto
SORPO	arbo, kies fruktojn oni manĝas tromaturajn
STURNO	speco de birdo
TAŬZI	ĉifante malordigi
TERENO	difinita terspaco
TIFAO	speco de marĉherbo
TIGO	flortrunketo
TORFO	spongeca substanco, per kiu oni povas hejti
TRIKI	teksi per vergetoj
TROPIKO	paralelo je 23°de la ekvatoro
TRUPO	soldataro
TUBO	long kava cilindro
TUJO	konifera arbo
ULMO	speco de fortika arbo
URSO	speco de granda rabobesto
VITAMINO	helpa nutrofaktoro necesa por la sano
AKVARIO	vitra akvujo en kiu estas fiŝoj
ANIMALO	vivanta estaĵo, sed ne vegetaĵo
AROGANTA	impertinenta, fieraĉa
BALAI	forpuŝi polvon aŭ malpuraĵon
BROSO	speciala ilo uzata por forigi malpuraĵon
DESERTO	lasta parto de manĝo
DISKO	metala ronda plataĵo uzata en ĵetludoj
DOTO	geedziĝa havaĵo
EKVILIBRO	egalpezeco
FALDI	refleksi ion maldikan, tiel ke unu parto kuŝas sur alia
FAZO	evolustadio
GAMBO	kruro
GRINCI	eligi malagrablan frotsonon
KADUKA	ruiniga
KARAMBOLI	kolizii
KASKO	soldata aŭ oficista kapŝirmilo
KLASIFIKI	aranĝi laŭ klasoj aŭ gradoj
KRISTO	laŭ la kristanoj, la Filo de Dio
KUGLO	konusforma metalaĵo, kiun oni ĵetas per pafilo
KULMINO	la plej alta punkto, la ekstremo
KVITANCO	ricevatesto
LEPORO	longorela besteto simila al kuniklo
LIKVORO	alkoholaĵo
MANIKO	parto de vesto, kiu kovras la brakon
MESO	katolika diservo
MOTOCIKLO	biciklo kun motoro
NOKAŭTI	senkonsciiĝi per bato
OPOZICIO	kontraŭstaro
PISTI	batpecetigi
PROCEDO	difinita agmaniero
PROKLAMI	oficiale kaj publike anonci
RIMENO	longa mallarĝa leda strio
STABO	armeestraro
STANGO	longa peco de ligno aŭ metalo
SUPO	manĝaĵo el akvo, en kiu oni kuiris viandon kaj legomojn
ŜOFORO	kondukisto de aŭtomobilo
ŜRANKO	meblo, en kiu oni pendigas vestojn aŭ konservas manĝaĵojn
TAĈMENTO	aro da homoj senditaj por speciala celo
TINTI	seke resoni
TRIBUNALO	juĝistaro
TROTUARO	apudvoja irejo por piedirantoj
AFRIKANSA	rilata al nederlanddevena lingvo parolata en Sudafriko
AGENTO	komisiito
AGRIKULTURO	terkulturado
AMERIKA	rilata al la termaso okcidente de Atlantiko
ARISTOKRATO	nobelo
BASTARDO	eksteredzeca infano
DEMOKRATIO	demokrataro
DEVII	devojiĝi
DILUI	maldensigi likvaĵon
EDINBURGO	la ĉefurbo de Skotlando
EKLEZIO	tuto de la anoj de iu kristana religio
FABLO	versrakonto en kiu bestoj aŭ objektoj rolas kiel homoj
FARMI	lui bienon por ĝin kulturi
GENERACIO	tuto de la samaĝaj homoj samtempe vivantaj
HINDUSTANA	rilata al lingvoparolata en Hindujo
HONESTA	konforma al honoro, virto kaj justeco
HUNGARA	rilata al Hugarujo
INTRIGI	ruze kombini por atingi ion
KONTINENTO	granda terdividaĵo
KULTIVI	kulturi la teron
MALICA	konscie malbonfarema
MENTORO	saĝa gvidanto
MERKATO	vendosfero
ORGOJLA	fierega
ORTODOKSA	konforma al tradicia doktrino
PAROĤO	eklezia distrikteto
SATIRO	verko, kiu kritike primokas ion aŭ iun
ŜAFO	lanprodukta besto
TEKSTO	enhavkonsisto de libro
TIRANO	senindulga kaj severa reganto
VERSIO	tradukvarianto
VOLUMO	unuopa libro
ABSOLVI	pardoni la pekojn
ADOPTI	alpreni iun kiel sian filon ad filinon
AKCIDENTO	malfeliĉa neatendita okazo
ANTROPOFAGO	hommanĝulo
AŬSPICIO	antaŭsigno pri estonteco
BREĈO	trarompaĵo
CIPRO	insulo mediteranea
DOĜO	estro de la venecia respubliko
FORTUNO	bona sorto
FRAGMENTO	derompita peceto
GALO	maldolĉa hepatsuko
GENERI	naskigi
GLAVO	pikbatalilo
IMUNA	ŝirmata, netuŝata
KANIBALO	hommanĝulo
KAVERNO	natura subtera kavo
KONFORMA	samforma
KORNEDO	standardisto
MANIFESTI	evidentigi
MAŬRO	nigrulo el nordafriko
POVRA	kompatinda; malriĉa
SIEĜI	ĉirkaŭi fortikaĵon por ĝin kapti
SPITI	kontraŭstari la volon de iu alia
SUSPIRI	sopirĝemi, vespiri
TREZORO	valoraĵo
TURKA	rilata al Turkujo
ABSCESO	pusamaso
ABUNDA	grandkvanta
ACIDA	akragusta
ALUMETO	ekbruliga lignopeco
AMELO	substanco uzata por rigidigi tolaĵon
ANGIO	korpa tubo, tra kiu fluas sango
ARGILO	glueca tero
BELGA	rilata al Belgujo
BULO	globforma peco de materialo
BUTONO	vestkuntenilo
DRATO	metalfadeno
DURA	malmola
EPITETO	kvalitiga adjektivo
FARĈO	viandpecetoj, kiujn oni enmetas internen de manĝaĵo
FAVO	parazita kaphaŭta malsano
FEKI	eligi ekskrementon
FERMENTO	organika substanco, kiu kaŭzas malkomponiĝon
FIGO	dolĉa mola frukto
FILOKSERO	tre malgranda insekto
FLARI	percepti per la nazo
FOSI	fari kavaĵon en la tero
KAPOTO	granda dika mantelo
KEGLO	ligna staraĵo, kiun oni renversas per pilko
KOLO	korpoparto inter kapo kaj trunko
KONKERI	militakiri
KORPULENTA	dikventra
KORPUSO	granda armedividaĵo
KRISPA	neregule ondeta
KRUĈO	speco de vazo kun tenilo
KUDRI	kunligi per fadeno
KVODLIBETO	muzikaĵo diversspeca kaj varia
LANO	ŝafhararo
LEŬTENANTO	oficiro sub kapitano
MAGAZENO	luksa butiko
MEKANIKA	farata per maŝino
OBUSO	kuglego
ORANĜERIO	varma halo por konservi arbojn dumvintre
ORFO	knabo, kies patro aŭ patrino mortis
-OZ	sufkso signifanta plena de, riĉa je
PINĈI	premi inter du fingroj
POMERIO	germana provinco
PRINCO	reĝido
PROVENCO	suda regiono de Francujo
PUTRI	malkomponiĝi
REGIMENTO	parto de armeo
RENDEVUO	interkonsentita renkontigo
RESPUBLIKO	reĝimo, en kiu regas popolaj reprezentantoj
RIKOLTI	detranĉi kaj kolekti, ekz-e grenon
RODI	mordeti
RUBO	senvaloraĵoj, forĵetindaĵoj
SILIKO	malmola ŝtono, per kiu oni povas fari fajron
SOLDO	malgranda monero
SPIKO	vico de grajoj sur tigo
STRANGOLI	sufokpremi la gorĝon de iu
SULFURO	flava materialo trovebla de vulkanoj
ŜMACI	kisi aŭ manĝi brue
TAVERNO	trinkejo
TRANĈEO	protekta fosaĵo
TRISTA	malĝoja
VENTRO	meza parto de la korpo
VINO	alkohola trinkaĵo
VITO	vinberarbeto
VERTAGO	speco de hundo kun mallongaj kruroj
AGORDI	emigi iun al io
AKVOPOLOO	pilkludo en naĝejo
ALIANCO	interligo
ALTARO	rita tablo por religiaj oferoj
ANĈOVO	speco de fiŝeto
ANONCI	antaŭsciigi
ANSO	kurba tenilo
ARENO	loko en la centro de cirko por bataloj kaj ludoj
BAGO	valizo
BANTO	ornama nodo
BARBITURATO	speco de drogo
BASENO	akvujo en ĝardeno
BIKINI-KOSTUMO	tre eta dupeca naĝkostumo
BOMBONO	sukeraĵo
BRETO	horizontala tabulo por surmeti objektojn
BRUTO	kvarpieda paŝtobesto
BUDAPEŜTO	la ĉefurbo de Hungarujo
BUĜETO	la sumo de la jaraj en- kaj el-spezoj
BUKEDO	kunligaĵo de detranĉitaj floroj
BURĜO	mezklasulo
ĈAMPANO	speco de saŭmvino
ĈERKO	kesto, en kiun oni metas kadavron
DIGO	akvobarilo
EKSTRA	plia, aldonita
EVENTO	grava okazaĵo
FANDI	fluecigi per varmo
FARBO	koloriga substanco
GALONO	dika rubando por ornami aŭ borderi veston
GIMNAZIO	mezgrada lernejo
GRANDIOZA	impone granda
GRATI	froti per la ungoj
GVATI	kaŝe aŭ deĵore observi
HENI	ĉevalbleki
HEPATO	granda glando, kiu produktas galon
HUMIDA	malseka
HUŜI	fortimigi birdojn, kriante “Hug!”
IMPROVIZI	fari ion senprepare
INCITI	koleretigi
JUNGI	alligi beston al tirota veturilo
JURO	leĝoscienco
KANAPO	longa apogseĝo
KAPACITO	la kvanto, kiun ujo povas enteni
KAZINO	konstruaĵo por publikaj amuzaĵoj 
KLAKI	eligi mallongan sonon per rapida movo de io kontraŭ io
KOINCIDI	okazi en la sama momento
KOLĤOZO	mastruma kolektivo
KOLONJO	urbo en Germanujo
KOMPOTO	manĝaĵo farita el fruktoj kuiritaj kun sukero
KONEKSA	interligita
KONKO	kalka tegaĵo de moluskoj
KOTLETO	rostita viandpeco
KRANIO	tutaĵo de la ostoj entenantaj la cerbon
KREZO	tre riĉa homo en la antikva tempo
KULERO	manĝilo per kiu oni ĉerpas
KUSENO	remburita sako por la kap-apogo
LADO	metala plato
LAMA	malfacile paŝanta pro kripleco
LAMPIONO	lampeto
LATINO	la lingvo de la Romianoj
LEKI	tuŝi per la lango
MAGAZINO	perioda revuo
MAJSTRO	titolo donata al homo fake elstare kompetenta
MASKO	artefarita vizaĝo, vizaĝkaŝilo
MATĈO	ludo aranĝita inter du trupoj
MATRIKULO	listo de anoj
MELODIO	belsona muzikaĵo
MELONO	granda sukplena frukto
MENTONO	vizaĝparto sub la buŝo
MIRTO	arbeto kun ĉiamverdaj folioj
MUZELO	elstara ĉirkaŭbuŝa kapoparto de bestoj
NORMO	modelo de la ordinara tipo aŭ kutimo
NUKO	posta parto de la kolo
NUPTO	geedziĝo
OBSTINA	firme necedema
OBTUZA	malklara, kvazaŭ sufokata
OCEANIO	la tuto de la pacifikaj landoj
OLDA	maljuna, malnova
PANTALONO	dukrura vesto por la suba korpoduono
PEDANTA	precize kaj detale zorganta pri malgravaĵoj
PEKI	malobservi moralan leĝon
POLEKSO	dikfingro de la mano
PULOVERO	trikita torsovesto
RANCA	ricevinta malagrablan odoron pro malkomponiĝo
RAPORTI	sciigi tion, kion oni vidis aŭ faris
RASPI	skrapi per speciala ilo
REPRODO	(mallongigo) = reproduktaĵo
REZOLUTA	decidema, firmanima
SCIURO	malgranda besto vivanta en arboj
SKRUPULO	dubo de konscienco
STATUO	homsimilaĵo el ŝtono
ŜMINKI	ŝmiri la vizaĝon per kolorilo
TAPIŜO	teksita plankokovrilo
TEGI	kovri ion tiel, ke la kovro kaj la kovritaĵo unuiĝas
TELE-	prefikso, kiu signifas “en malproksimo”
TELEFONO	aparato por interparoli tra granda distanco
TENTI	instigi al io malpermesita
TREMOLO	speco de arbo
TROGLODITO	kavernulo
TUALETO	necesaĵoj por sin vestado
TUĈI	skrbi per speciala nigrega inko
TURISTO	homo vojaganta por plezuro
ULTIMATO	lasta averto antaŭ milito
VAZO	ujo
VENENO	vivdetrua substanco
VISKIO	skota brando
ZIZELO	malgranda mambesto, kiu dormas dum la vintro
TRANKVI	(mallongigo) = trankviligi
