AGO	io, kion oni faras
BRIDO	kaprimeno por ĉevalo
BRIDI (metafore)	kvietigi, malhelpi
CENTRO	meza punkto aŭ parto
CINDRO	brulrestaĵo
ĈESI	ne plu fari ion
DENSA	tre proksime metitaj
DENTO	elstaranta buŝosto
DESEGNI	per plumo aŭ krajono montri la trajtojn de io aŭ iu
DIABLO	malbona spirito
DUBI	esti malcerta
ERUDICIO	granda klero
FAKO	aparta dividaĵo aŭ branĉo
FANFARONI	sin mem laŭdi
FILOLOGO	sciencisto pri lingvoj
FINALO	fina parto
FLAGRI	intermite ekflami
FLAMO	hela brulanta fajrgaso
FORMALA	laŭregula, 1aŭleĝa
FORNO	fajrujo por hejti kaj kuiri
FUMO	vaporo de brulaĵo
GRADO	mezuro de io
ĜENTILA	bonmaniere afabla
HUMORO	animstato
INĜENIERO	sciencmetoda teĥnikisto
INSPEKTI	kontroli ies agadon
ĴURI	solene atesti
ĴURNALO	ĉiutaga gazeto
KANALO	artefarita rivero
KINO	teatro, kie oni montras filmojn
KOMO	interpunkcia signo (,)
KOMPAKTA	densa kaj nedisiĝema
KOMUNIKI	diskonigi
KONCERNI	esti la afero de iu
KONFESI	deklari ion malbonan pri si mem
KONFIDI	plenkrede transdoni
KONJUNKTURO	cirkonstancaro
KONKURSO	konkuro por premio
KONTINUA	seninterrompa
KOVERTO	kovrilo por letero
KREPUSKO	duonlumo matena aŭ vespera
KRITIKI	montri la mankojn de iu aŭ io
KRURO	korpoparto, per kiu oni marŝas
KUIRI	prepari mangaĵon
KURBA	malrekta
LOGARITMO	nombro de aritmetika progresio respondanta al alia nombro de geometria progresio
MANIERO	metodo de agado
MODULI	variigi la tonojn
MUŜO	doma insekto
NERVO	korpoparto, kiu transdonas impresojn al la cerbo
NOBLA	havanta altajn moralajn kvalitojn
NOMBRO	nedifinita kvanto
NOTI	skribi resumon
NUMERO	cifero
PASIO	arda deziro
PAVIMO	ŝtona tegaĵo de strato
PERSISTI	energie daŭri aŭ daŭrigi
PLACO	libera spaco en urbo
PLAĈI	kontentigi
PLANDO	suba parto de piedo
POEMO	versaĵo
POETO	versaĵisto
POLVO	sekaj eretoj de tero
PRECIZA	klare determinita
PREMIO	donaco al konkursgajninto
PROMESI	certigi, ke oni faros ion
PROPORCIO	rilato de partoj inter si
RAŬKA	sonanta skrape kaj malklare
REDAKTORO	persono, kiu estras gazeton
RENVERSI	faligi ion aŭ iun
RETO	truplena fadenplektaĵo
REZIGNI	definitive forlasi ion
ROMANO	longa proza f1kciaĵo
ROMANTIKO	literatura doktrino, kiu preferas fantazion al racio
RUZA	lerte trompa
SENCO	komprenebleco
SERVICO	manĝilaro
SEZONO	jarkvarono, laŭ vidpunkto de la normala vetero
SOMNAMBULO	persono, kiu marŝas dormante
SONĜO	dumdorma mensbildo
SORĈI	ĉarmegi
STATURO	korpalteco
STUMPO	mallonga restaĵo de io
SUĈI	alspiri al si
SABLONO	modelo, laŭ kiu oni eltranĉas objekton; (metafore): banalaĵo
ŜERCI	paroli neserioze, ridige
TERMINO	speciala vorto aŭ esprimo
TRAGEDIO	dramo kun malĝoja fino
TURNI	ĉirkaŭmovi ion
UNIVERSITATO	centro de supera studado
VETI	riski sumon en ludo
VETERO	stato de la atmosfero
ZIGZAGO	linio, iranta alterne laŭ kontraŭaj direktoj
BALANCI	movi tien kaj reen
BALANCIERO	radeto en horloĝo, kiu reguligas la moviĝon
BAROSKOPO	aparato uzata por mezuri gaspremon
BRAKO	korpoparto de la ŝultro ĝis la mano
CENTIMETRO (cm)	centono de metro
DETRUI	ruinigi, neniigi
DIAMETRO	mezuro trans cirklo tra la centro
DIFEKTI	kaŭzi malbonon al io
DILETANTO	persono, kiu okupiĝas nur supraĵe pri io
EKVATORO	imaga linio ĉirkaŭ la tero, meze inter la polusoj
EKZAMENI	detale esplori
ELEKTRO	unu formo de fizika energio
GARANTII	firme promesi ion
GLACIO	akvo solidigita per malvarmo
INFLUI	rezultigi agadon de iu aŭ io
KAZO	difinita aparta okazo
KILOMETRO (km)	milo da metroj
KONSERVI	zorgi, ke io ne difektiĝu aŭ perdiĝu
KONSISTI	havi kiel erojn
KONSTANTA	senŝanĝa, senĉesa
KONTROLI	detale esplori, oficiale ekzameni
KRONOMETRO	tre preciza horloĝo
KUDRI	kunigi per fadeno kaj speciala pinta ilo
KVALITO	grado de boneco
KVANTO	nombro da objektoj aŭ personoj
LAGRO	maŝina peco, kiu portas la akson de rado
LIKVA	flueca
LOKOMOTIVO	maŝino por tiri vagonojn sur fervojo
LUBRIKI	olei maŝinon
MAGNETO	ferpeco kun altira povo
MANIPULI	manuzi
MAŜINO	aparato, kiu produktas, transsendas aŭ utiligas forton
MATEMATIKO	scienco pri kalkulo
MEKANISMO	tuto de la pecoj de maŝino
MEMORI	konservi antaŭe ricevitajn ideojn
MERITI	esti inda je rekompenco
MEZURI	taksi kaj difini grandecon
MILIMETRO (mm)	dekono de centimetro
MINUTO	sesdekono de horo
MOTORO	maŝino, kiu produktas movon
NORMALA	ordinara, laŭkutima
OLEO	grasa fluidaĵo
PENETRI	eniĝi al io
PERIMETRO	linio ĉirkaŭ figuro
PIKI	enigi pinton en ion
PIVOTO	turnpunkto
PRUVI	montri, ke io estas vera
PUNKTO	preciza loko, kie io okazas
PURA	sendifekta
RADO	rondaĵo turniĝanta ĉirkaŭ akso
REGULA	ripetiĝanta post fiksita periodo
RELATIVA	pli-malplia
REVIZI	ekzameni kaj kontroli
RIPARI	rebonigi
RISORTO	elasta metala fadeno
SEKUNDO	sesdekono de minuto
SIGNALO	komunika signo
SOLIDA	firma, konfidinda
SPIRALO	rondiranta linio, kiu malproksimiĝas de sia centro
ŜIRMI	protekti ion por eviti difekton
ŜMIRI	froti per grasaĵo
ŜTALO	tre malmola metalo
VALORI	havi meriton, altan prezon
VARMA	sento produktata de brulo aŭ fajro
VITRINO	elmontra vitrujo
ABSTRAKTA	malkonkreta
AKCENTO	plilaŭtigo de voĉo
AMUZI	gajigi
ANTIKVA	malnovega
ARĤIVO	dokumentujo
ARKO	kurblinio
AVENTURO	neordinara kaj ne atendita okazaĵo
BANI	meti en akvon por ĝin lavi
BANALA	seninteresa, ĉar tre ordinara
BANKEDO	komuna manĝo
BARI	fermi vojon per io
BILDO	videbla similaĵo de io
BORDERI	start ĉe la rando de io
BRILIANTO	speco de diamanto
BUNTA	diverskolora
ĈERPI	elpreni, eltiri
DEDUKTI	fart konkludon per logiko
DIMENSIO	mezuro
DIVENI	supozi laŭ elpensado
DORSO	malantaŭo de la korpo
EKZEMPLERO	unuopa specimeno
ENIGMO	malfacile komprenebla afero
ETOSO	spirita atmosfero
FENDI	disigi laŭlonge ion
FENOMENO	malofta afero
FILMO	tio, sur kiu oni faras negativojn dum fotado
FLATI	trolaŭdi
FOTI	fari bildon sur filmon
FOTOGRAFO	homo, kiu fotas
FRONTO	antaŭa parto de objekto
FRUNTO	superokula parto de vizaĝo
GAPI	rigardadi kun larĝe malfermitaj okuloj
GLUTI	enstomakigi
GRAVURI	desegni sur metalo aŭ ŝtono
GRIMPI	pene supreniri
HAŬTO	natura korpokovro de la homo
HIPNOTO	arte kaŭzita dormo
IMPERIO	granda regno
INDIGO	malhelblua koloro
INDIKI	precize konigi ion
INKVIZITORO	rigora esploranto
INTENSA	tre energia
INUNDO	superakvego
JUGLANDO	speco de nukso
JUVELO	multekosta ŝtono
KARTO	kartonfolieto
KOFRO	granda kesto, ujego
KOLEKTI	iom post iom amasigi samspecajn objektojn
KOMIKA	ridiga, amuza
KOMPLIKI	malsimpligi
KONCENTRA	havanta komunan centron
KONFIRMI	plicertigi
KONSTERNI	konfuzi, maltrankviligi
KONVERSACIO	interparolado
KONVULSIO	fortega skuiĝo
KRONO	reĝa kapornamo
KURTENO	ŝtofa fenestrokovrilo
LANTERNO	lampego
LOGIKO	rezonanta pensmaniero
LUKSO	riĉa vivmaniero
MARKO	distingiga signo
MARŜI	paŝi
MEBLO	seĝo, tablo, lito, aŭ alia hejmobjekto
METALO	malmola substanco
MUZEO	domo, kie oni konservas malnovajn interesaĵojn
NAVIGI	marveturi
NUBO	densaĵo sur la ĉielo
ODORI	esti flarebla
OPERACIO	agmaniero
ORNAMI	plibeligi
PALACO	reĝa domego
PAŜTI	manĝigi bestojn sur kampo
PEJZAĜO	landvidaĵo
PERLO	juvela globeto
