C.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	deziri	deziri	to desire, to wish	grupo	alternativoj	prononco
level	longa	longa	long	grupo	alternativoj	prononco
level	mondo	mondo	a world	grupo	alternativoj	prononco
level	okazi	okazi	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	kampo	field, a field	grupo	alternativoj	prononco
level	filo	filo	a son	grupo	alternativoj	prononco
level	montri	montri	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	koro	a heart	grupo	alternativoj	prononco
level	knabo	knabo	a boy	grupo	alternativoj	prononco
level	meti	meti	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	edzo	a husband	grupo	alternativoj	prononco
level	pako	pako	package	grupo	alternativoj	prononco
level	rapida	rapida	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	ŝajni	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	saluto	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	skribi	to write	grupo	alternativoj	prononco
level	peti	peti	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	flugi	to fly	grupo	alternativoj	prononco
level	kapo	kapo	a head, a cape	grupo	alternativoj	prononco
level	krii	krii	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	ruĝa	red	grupo	alternativoj	prononco
level	sinjoro	sinjoro	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	teni	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tempo	time, a time	grupo	alternativoj	prononco
level	tuta	tuta	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	viro	a man	grupo	alternativoj	prononco
level	vojo	vojo	a way, a path, a route	grupo	alternativoj	prononco
level	movi	movi	to move	grupo	alternativoj	prononco
level	militi	militi	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	kelka	a few, several	grupo	alternativoj	prononco
level	dekstra	dekstra	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	fermi	to close, to shut	grupo	alternativoj	prononco
level	okupi	okupi	to occupy, to take	grupo	alternativoj	prononco
level	levi	levi	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	bati	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	bezoni	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	kompreni	to understand, to realise	grupo	alternativoj	prononco
level	iri	iri	to go	grupo	alternativoj	prononco
level	veni	veni	to come	grupo	alternativoj	prononco
level	porti	porti	to carry, to wear	grupo	alternativoj	prononco
level	kovri	kovri	to cover	grupo	alternativoj	prononco
level	hela	hela	bright, clear and light	grupo	alternativoj	prononco
level	sana	sana	healthy	grupo	alternativoj	prononco
level	aperi	aperi	to appear, to emerge	grupo	alternativoj	prononco
level	libro	libro	a book	grupo	alternativoj	prononco
level	atendi	atendi	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	mano	a hand	grupo	alternativoj	prononco
level	pentri	pentri	to paint	grupo	alternativoj	prononco
level	instrui	instrui	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sidi	to sit	grupo	alternativoj	prononco
level	stari	stari	to stand	grupo	alternativoj	prononco
level	afero	afero	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	plena	full, complete	grupo	alternativoj	prononco
level	klara	klara	clear	grupo	alternativoj	prononco
level	komenci	komenci	to begin, to commence	grupo	alternativoj	prononco
level	dormi	dormi	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	parto	a part, a share	grupo	alternativoj	prononco
level	mono	mono	money	grupo	alternativoj	prononco
level	ricevi	ricevi	to receive	grupo	alternativoj	prononco
level	ami	ami	to love	grupo	alternativoj	prononco
level	devi	devi	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	povi	be able to, can	grupo	alternativoj	prononco
level	labori	labori	to work, to labor	grupo	alternativoj	prononco
level	dio	dio	a god	grupo	alternativoj	prononco
level	urbo	urbo	a city, a town	grupo	alternativoj	prononco
